Designator,Mid X,Mid Y,Layer,Rotation
C1,185.900000mm,-122.725000mm,Top,270
C2,183.200000mm,-125.600000mm,Top,180
C3,180.100000mm,-122.825000mm,Top,270
C4,183.100000mm,-122.725000mm,Top,270
C5,188.400000mm,-116.300000mm,Top,270
D1,149.500000mm,-120.500000mm,Top,0
D2,157.500000mm,-120.500000mm,Top,0
D3,166.300000mm,-120.500000mm,Top,0
D4,151.200000mm,-116.900000mm,Top,180
D5,159.180000mm,-116.800000mm,Top,180
D6,168.000000mm,-116.500000mm,Top,180
D7,179.200000mm,-99.600000mm,Top,270
D8,170.700000mm,-99.600000mm,Top,270
D9,175.300000mm,-99.600000mm,Top,270
Q1,148.600000mm,-113.200000mm,Top,270
Q2,156.800000mm,-113.200000mm,Top,270
Q3,165.500000mm,-113.100000mm,Top,270
R1,148.300000mm,-116.900000mm,Top,180
R2,156.500000mm,-116.800000mm,Top,180
R3,165.200000mm,-116.500000mm,Top,180
R4,150.000000mm,-108.900000mm,Top,270
R5,157.900000mm,-109.400000mm,Top,270
R6,166.300000mm,-109.225000mm,Top,270
R7,147.900000mm,-108.900000mm,Top,90
R8,155.800000mm,-109.200000mm,Top,90
R9,164.400000mm,-109.200000mm,Top,90
R10,185.900000mm,-126.275000mm,Top,270
R11,180.100000mm,-126.400000mm,Top,270
R12,178.400000mm,-102.500000mm,Top,180
R13,174.525000mm,-102.600000mm,Top,180
R14,169.925000mm,-102.500000mm,Top,180
U1,182.900000mm,-116.600000mm,Top,180
